Wavelength (nm),Absorbance
622.0,0.021
622.5,0.021
623.0,0.022
623.5,0.022
624.0,0.022
624.5,0.021
625.0,0.021
625.5,0.021
626.0,0.021
626.5,0.021
627.0,0.022
627.5,0.022
628.0,0.022
628.5,0.022
629.0,0.021
629.5,0.021
630.0,0.021
630.5,0.021
631.0,0.021
631.5,0.021
632.0,0.021
632.5,0.021
633.0,0.021
633.5,0.021
634.0,0.021
634.5,0.021
635.0,0.021
635.5,0.021
636.0,0.021
636.5,0.021
637.0,0.021
637.5,0.021
638.0,0.021
638.5,0.021
639.0,0.021
639.5,0.021
640.0,0.021
640.5,0.021
641.0,0.021
641.5,0.021
642.0,0.021
642.5,0.021
643.0,0.021
643.5,0.021
644.0,0.021
644.5,0.021
645.0,0.021
645.5,0.021
646.0,0.021
646.5,0.021
647.0,0.021
647.5,0.021
648.0,0.021
648.5,0.021
649.0,0.021
649.5,0.021
650.0,0.021
650.5,0.021
651.0,0.021
651.5,0.021
652.0,0.021
652.5,0.021
653.0,0.021
653.5,0.021
654.0,0.021
654.5,0.021
655.0,0.021
655.5,0.021
656.0,0.021
656.5,0.021
657.0,0.021
657.5,0.021
658.0,0.021
658.5,0.021
659.0,0.021
659.5,0.021
660.0,0.021
660.5,0.021
661.0,0.021
661.5,0.021
662.0,0.021
662.5,0.021
663.0,0.021
663.5,0.021
664.0,0.021
664.5,0.021
665.0,0.021
665.5,0.021
666.0,0.021
666.5,0.021
667.0,0.021
667.5,0.021
668.0,0.021
668.5,0.021
669.0,0.021
669.5,0.021
670.0,0.021
670.5,0.021
671.0,0.021
671.5,0.021
672.0,0.021
672.5,0.021
673.0,0.021
673.5,0.021
674.0,0.021
674.5,0.021
675.0,0.021
675.5,0.021
676.0,0.021
676.5,0.021
677.0,0.021
677.5,0.021
678.0,0.021
678.5,0.021
679.0,0.021
679.5,0.021
680.0,0.021
680.5,0.021
681.0,0.021
681.5,0.021
682.0,0.021
682.5,0.021
683.0,0.021
683.5,0.021
684.0,0.021
684.5,0.021
685.0,0.021
685.5,0.021
686.0,0.021
686.5,0.021
687.0,0.021
687.5,0.021
688.0,0.021
688.5,0.021
689.0,0.021
689.5,0.021
690.0,0.021
690.5,0.021
691.0,0.021
691.5,0.021
692.0,0.021
692.5,0.021
693.0,0.021
693.5,0.021
694.0,0.021
694.5,0.021
695.0,0.021
695.5,0.021
696.0,0.021
696.5,0.021
697.0,0.021
697.5,0.021
698.0,0.021
698.5,0.021
699.0,0.021
699.5,0.021
700.0,0.021
700.5,0.021
701.0,0.021
701.5,0.021
702.0,0.021
702.5,0.021
703.0,0.021
703.5,0.021
704.0,0.021
704.5,0.021
705.0,0.021
705.5,0.021
706.0,0.021
706.5,0.021
707.0,0.021
707.5,0.021
708.0,0.021
708.5,0.021
709.0,0.021
709.5,0.021
710.0,0.021
710.5,0.021
711.0,0.021
711.5,0.021
712.0,0.021
712.5,0.021
713.0,0.021
713.5,0.021
714.0,0.021
714.5,0.021
715.0,0.021
715.5,0.021
716.0,0.021
716.5,0.021
717.0,0.021
717.5,0.022
718.0,0.021
718.5,0.021
719.0,0.021
719.5,0.021
720.0,0.021
720.5,0.021
721.0,0.021
721.5,0.021
722.0,0.021
722.5,0.021
723.0,0.021
723.5,0.021
724.0,0.021
724.5,0.021
725.0,0.021
725.5,0.021
726.0,0.021
726.5,0.021
727.0,0.021
727.5,0.021
728.0,0.021
728.5,0.021
729.0,0.021
729.5,0.021
730.0,0.021
730.5,0.021
731.0,0.021
731.5,0.021
732.0,0.021
732.5,0.021
733.0,0.021
733.5,0.021
734.0,0.021
734.5,0.021
735.0,0.021
735.5,0.021
736.0,0.021
736.5,0.021
737.0,0.021
