Wavelength (nm),Absorbance
468.0,0.002
468.5,0.002
469.0,0.002
469.5,0.002
470.0,0.003
470.5,0.003
471.0,0.003
471.5,0.003
472.0,0.003
472.5,0.003
473.0,0.003
473.5,0.003
474.0,0.003
474.5,0.003
475.0,0.003
475.5,0.003
476.0,0.003
476.5,0.003
477.0,0.003
477.5,0.003
478.0,0.003
478.5,0.003
479.0,0.003
479.5,0.003
480.0,0.003
480.5,0.003
481.0,0.003
481.5,0.003
482.0,0.003
482.5,0.003
483.0,0.003
483.5,0.003
484.0,0.003
484.5,0.003
485.0,0.003
485.5,0.003
486.0,0.003
486.5,0.003
487.0,0.003
487.5,0.003
488.0,0.003
488.5,0.003
489.0,0.003
489.5,0.003
490.0,0.003
490.5,0.003
491.0,0.004
491.5,0.004
492.0,0.004
492.5,0.004
493.0,0.004
493.5,0.004
494.0,0.004
494.5,0.004
495.0,0.004
495.5,0.004
496.0,0.004
496.5,0.004
497.0,0.004
497.5,0.004
498.0,0.004
498.5,0.004
499.0,0.004
499.5,0.004
500.0,0.004
500.5,0.004
501.0,0.004
501.5,0.004
502.0,0.004
502.5,0.004
503.0,0.004
503.5,0.004
504.0,0.004
504.5,0.004
505.0,0.004
505.5,0.004
506.0,0.004
506.5,0.004
507.0,0.004
507.5,0.004
508.0,0.004
508.5,0.004
509.0,0.004
509.5,0.004
510.0,0.004
510.5,0.004
511.0,0.004
511.5,0.004
512.0,0.004
512.5,0.004
513.0,0.004
513.5,0.004
514.0,0.004
514.5,0.004
515.0,0.004
515.5,0.004
516.0,0.004
516.5,0.004
517.0,0.004
517.5,0.004
518.0,0.004
518.5,0.004
519.0,0.004
519.5,0.004
520.0,0.004
520.5,0.004
521.0,0.004
521.5,0.004
522.0,0.004
522.5,0.004
523.0,0.004
523.5,0.004
524.0,0.004
524.5,0.004
525.0,0.004
525.5,0.004
526.0,0.004
526.5,0.004
527.0,0.004
527.5,0.004
528.0,0.004
528.5,0.004
529.0,0.004
529.5,0.004
530.0,0.004
530.5,0.004
531.0,0.004
531.5,0.004
532.0,0.004
532.5,0.004
533.0,0.004
533.5,0.004
534.0,0.004
534.5,0.004
535.0,0.004
535.5,0.004
536.0,0.004
536.5,0.004
537.0,0.004
537.5,0.004
538.0,0.004
538.5,0.004
539.0,0.004
539.5,0.004
540.0,0.004
540.5,0.004
541.0,0.004
541.5,0.004
542.0,0.004
542.5,0.004
543.0,0.004
543.5,0.004
544.0,0.004
544.5,0.004
545.0,0.004
545.5,0.004
546.0,0.004
546.5,0.004
547.0,0.004
547.5,0.004
548.0,0.004
548.5,0.004
549.0,0.004
549.5,0.005
550.0,0.005
550.5,0.004
551.0,0.004
551.5,0.004
552.0,0.005
552.5,0.005
553.0,0.004
553.5,0.004
554.0,0.004
554.5,0.004
