Wavelength (nm),Absorbance
579.0,0.002
579.5,0.002
580.0,0.002
580.5,0.002
581.0,0.002
581.5,0.002
582.0,0.002
582.5,0.002
583.0,0.002
583.5,0.002
584.0,0.002
584.5,0.002
585.0,0.002
585.5,0.002
586.0,0.002
586.5,0.002
587.0,0.002
587.5,0.002
588.0,0.002
588.5,0.002
589.0,0.002
589.5,0.002
590.0,0.002
590.5,0.002
591.0,0.002
591.5,0.002
592.0,0.002
592.5,0.002
593.0,0.002
593.5,0.002
594.0,0.002
594.5,0.002
595.0,0.002
595.5,0.002
596.0,0.002
596.5,0.002
597.0,0.002
597.5,0.002
598.0,0.002
598.5,0.002
599.0,0.002
599.5,0.002
600.0,0.002
600.5,0.002
601.0,0.002
601.5,0.002
602.0,0.002
602.5,0.002
603.0,0.002
603.5,0.002
604.0,0.002
604.5,0.002
605.0,0.002
605.5,0.002
606.0,0.002
606.5,0.002
607.0,0.002
607.5,0.002
608.0,0.002
608.5,0.002
609.0,0.002
609.5,0.002
610.0,0.002
610.5,0.002
611.0,0.002
611.5,0.002
612.0,0.002
612.5,0.002
613.0,0.002
613.5,0.002
614.0,0.002
614.5,0.002
615.0,0.002
615.5,0.002
616.0,0.002
616.5,0.002
617.0,0.002
617.5,0.002
618.0,0.002
618.5,0.002
619.0,0.002
619.5,0.002
620.0,0.002
620.5,0.002
621.0,0.002
621.5,0.002
622.0,0.002
622.5,0.002
623.0,0.002
623.5,0.002
624.0,0.002
624.5,0.002
625.0,0.002
625.5,0.002
626.0,0.002
626.5,0.002
627.0,0.002
627.5,0.002
628.0,0.002
628.5,0.002
629.0,0.002
629.5,0.002
630.0,0.002
630.5,0.002
631.0,0.002
631.5,0.002
632.0,0.002
632.5,0.002
633.0,0.002
633.5,0.002
634.0,0.002
634.5,0.002
635.0,0.002
635.5,0.002
636.0,0.002
636.5,0.002
637.0,0.002
637.5,0.002
638.0,0.002
638.5,0.002
639.0,0.002
639.5,0.002
640.0,0.002
640.5,0.002
641.0,0.002
641.5,0.002
642.0,0.002
642.5,0.002
643.0,0.002
643.5,0.002
644.0,0.002
644.5,0.002
645.0,0.002
645.5,0.002
646.0,0.002
646.5,0.002
647.0,0.002
647.5,0.002
648.0,0.002
648.5,0.002
649.0,0.002
649.5,0.002
650.0,0.002
650.5,0.002
651.0,0.002
651.5,0.002
652.0,0.002
652.5,0.002
653.0,0.002
653.5,0.002
654.0,0.002
654.5,0.002
655.0,0.002
655.5,0.002
656.0,0.002
656.5,0.002
657.0,0.002
657.5,0.002
658.0,0.002
658.5,0.002
659.0,0.002
659.5,0.002
660.0,0.002
660.5,0.002
661.0,0.002
661.5,0.002
662.0,0.002
662.5,0.002
663.0,0.002
663.5,0.002
664.0,0.002
664.5,0.002
665.0,0.002
665.5,0.002
666.0,0.002
666.5,0.002
667.0,0.002
667.5,0.002
668.0,0.002
668.5,0.002
669.0,0.002
669.5,0.002
670.0,0.002
670.5,0.002
671.0,0.002
671.5,0.002
672.0,0.002
672.5,0.002
673.0,0.002
673.5,0.002
674.0,0.002
674.5,0.002
675.0,0.002
675.5,0.002
676.0,0.002
676.5,0.002
677.0,0.002
677.5,0.002
678.0,0.002
678.5,0.002
679.0,0.002
679.5,0.002
680.0,0.002
680.5,0.002
681.0,0.002
681.5,0.002
682.0,0.002
682.5,0.002
683.0,0.002
683.5,0.002
684.0,0.002
684.5,0.002
685.0,0.002
685.5,0.002
686.0,0.002
686.5,0.002
687.0,0.002
687.5,0.002
688.0,0.002
688.5,0.002
689.0,0.002
689.5,0.002
690.0,0.002
690.5,0.002
691.0,0.002
691.5,0.002
692.0,0.002
692.5,0.002
693.0,0.002
693.5,0.002
694.0,0.002
694.5,0.002
695.0,0.002
695.5,0.002
696.0,0.002
696.5,0.002
697.0,0.002
697.5,0.002
698.0,0.002
698.5,0.002
699.0,0.002
699.5,0.002
700.0,0.002
700.5,0.002
701.0,0.002
701.5,0.002
702.0,0.002
702.5,0.002
703.0,0.002
703.5,0.002
704.0,0.002
704.5,0.002
705.0,0.002
705.5,0.002
706.0,0.002
706.5,0.002
707.0,0.002
707.5,0.002
708.0,0.002
708.5,0.002
709.0,0.002
709.5,0.002
710.0,0.002
710.5,0.002
711.0,0.002
711.5,0.002
712.0,0.002
712.5,0.002
713.0,0.002
713.5,0.002
714.0,0.002
714.5,0.002
715.0,0.002
715.5,0.002
716.0,0.002
716.5,0.002
717.0,0.002
717.5,0.002
718.0,0.002
718.5,0.002
719.0,0.002
719.5,0.002
720.0,0.002
720.5,0.002
721.0,0.002
721.5,0.002
722.0,0.002
722.5,0.002
723.0,0.002
723.5,0.002
724.0,0.002
724.5,0.002
725.0,0.002
725.5,0.002
726.0,0.002
726.5,0.002
727.0,0.002
727.5,0.002
728.0,0.002
728.5,0.002
729.0,0.002
729.5,0.002
730.0,0.002
730.5,0.002
731.0,0.002
731.5,0.002
732.0,0.002
732.5,0.002
733.0,0.002
733.5,0.002
734.0,0.002
734.5,0.002
735.0,0.002
735.5,0.002
736.0,0.002
736.5,0.002
737.0,0.002
737.5,0.002
738.0,0.002
738.5,0.002
739.0,0.002
739.5,0.002
740.0,0.002
740.5,0.002
741.0,0.002
741.5,0.002
742.0,0.002
742.5,0.002
743.0,0.002
743.5,0.002
744.0,0.002
744.5,0.002
745.0,0.002
745.5,0.002
746.0,0.002
746.5,0.002
747.0,0.002
747.5,0.002
748.0,0.002
748.5,0.002
749.0,0.002
749.5,0.002
750.0,0.002
750.5,0.002
751.0,0.002
751.5,0.002
752.0,0.002
752.5,0.002
753.0,0.002
753.5,0.002
754.0,0.002
754.5,0.002
755.0,0.002
755.5,0.002
756.0,0.002
756.5,0.002
757.0,0.002
757.5,0.002
758.0,0.002
758.5,0.002
759.0,0.002
759.5,0.002
760.0,0.002
760.5,0.002
761.0,0.002
761.5,0.002
762.0,0.002
762.5,0.002
763.0,0.002
763.5,0.002
764.0,0.002
764.5,0.002
765.0,0.002
765.5,0.002
766.0,0.002
766.5,0.002
767.0,0.002
767.5,0.002
768.0,0.002
768.5,0.002
769.0,0.002
769.5,0.002
770.0,0.002
770.5,0.002
771.0,0.002
771.5,0.002
772.0,0.002
772.5,0.002
773.0,0.002
773.5,0.002
774.0,0.002
774.5,0.002
775.0,0.002
775.5,0.002
776.0,0.001
776.5,0.001
777.0,0.002
777.5,0.002
778.0,0.002
778.5,0.002
779.0,0.002
779.5,0.002
780.0,0.002
780.5,0.001
781.0,0.002
781.5,0.002
782.0,0.002
782.5,0.002
783.0,0.002
783.5,0.002
784.0,0.001
784.5,0.001
785.0,0.001
785.5,0.002
786.0,0.002
786.5,0.002
787.0,0.001
787.5,0.001
788.0,0.002
788.5,0.002
789.0,0.002
789.5,0.002
790.0,0.002
790.5,0.001
791.0,0.001
791.5,0.001
792.0,0.001
792.5,0.001
793.0,0.001
793.5,0.001
794.0,0.001
794.5,0.001
795.0,0.002
795.5,0.002
796.0,0.002
796.5,0.002
797.0,0.001
797.5,0.002
798.0,0.002
798.5,0.002
799.0,0.002
799.5,0.001
800.0,0.001
800.5,0.001
801.0,0.001
801.5,0.001
802.0,0.001
802.5,0.001
803.0,0.001
803.5,0.001
804.0,0.001
804.5,0.001
805.0,0.001
805.5,0.002
806.0,0.002
806.5,0.001
807.0,0.001
807.5,0.001
808.0,0.001
808.5,0.001
809.0,0.001
809.5,0.001
810.0,0.001
810.5,0.001
811.0,0.001
811.5,0.001
812.0,0.001
812.5,0.001
813.0,0.001
813.5,0.002
814.0,0.001
814.5,0.002
815.0,0.001
815.5,0.001
816.0,0.001
816.5,0.001
817.0,0.001
817.5,0.001
818.0,0.001
818.5,0.001
819.0,0.001
819.5,0.001
820.0,0.001
820.5,0.001
821.0,0.001
821.5,0.001
822.0,0.001
822.5,0.001
823.0,0.001
823.5,0.001
824.0,0.001
824.5,0.002
825.0,0.002
825.5,0.001
826.0,0.001
826.5,0.001
827.0,0.001
827.5,0.001
828.0,0.001
828.5,0.001
829.0,0.001
829.5,0.001
830.0,0.001
830.5,0.001
831.0,0.002
831.5,0.002
832.0,0.001
832.5,0.001
833.0,0.001
833.5,0.001
834.0,0.001
834.5,0.001
835.0,0.001
835.5,0.001
836.0,0.001
836.5,0.001
837.0,0.001
837.5,0.001
838.0,0.001
838.5,0.001
839.0,0.001
839.5,0.001
840.0,0.001
840.5,0.002
841.0,0.001
841.5,0.001
842.0,0.001
842.5,0.001
843.0,0.001
843.5,0.001
844.0,0.001
844.5,0.001
845.0,0.001
845.5,0.001
846.0,0.001
846.5,0.001
847.0,0.001
847.5,0.001
848.0,0.001
848.5,0.001
849.0,0.001
849.5,0.001
850.0,0.001
850.5,0.001
851.0,0.001
851.5,0.001
852.0,0.001
852.5,0.001
853.0,0.001
853.5,0.002
854.0,0.001
854.5,0.001
855.0,0.001
855.5,0.001
856.0,0.001
856.5,0.001
857.0,0.001
857.5,0.001
858.0,0.001
858.5,0.001
859.0,0.001
859.5,0.001
860.0,0.001
860.5,0.001
861.0,0.001
861.5,0.001
862.0,0.001
862.5,0.001
863.0,0.001
863.5,0.001
864.0,0.001
864.5,0.001
865.0,0.001
865.5,0.001
866.0,0.001
866.5,0.001
867.0,0.001
867.5,0.001
868.0,0.001
868.5,0.001
869.0,0.001
869.5,0.002
870.0,0.001
870.5,0.001
871.0,0.001
871.5,0.001
872.0,0.001
872.5,0.001
873.0,0.002
873.5,0.002
874.0,0.001
874.5,0.001
875.0,0.001
875.5,0.001
876.0,0.001
876.5,0.001
877.0,0.001
877.5,0.001
878.0,0.001
878.5,0.001
879.0,0.001
879.5,0.001
880.0,0.001
880.5,0.001
881.0,0.001
881.5,0.002
882.0,0.001
882.5,0.001
883.0,0.001
883.5,0.001
884.0,0.001
884.5,0.001
885.0,0.001
885.5,0.000
886.0,0.001
886.5,0.001
887.0,0.002
887.5,0.001
888.0,0.001
888.5,0.000
889.0,0.001
889.5,0.002
890.0,0.002
890.5,0.001
891.0,0.001
891.5,0.002
892.0,0.002
892.5,0.002
893.0,0.001
893.5,0.001
894.0,0.001
894.5,0.001
895.0,0.002
895.5,0.001
896.0,0.001
896.5,0.001
897.0,0.001
897.5,0.001
898.0,0.001
898.5,0.001
899.0,0.002
899.5,0.002
900.0,0.003
